label,tweet,,,,,,,,,,,,,,,
1,"@pdfloral I miss having a retail store. It was a lot of work, almost like having another kid. But loved being my own &quot;shop girl&quot;. ",,,,,,,,,,,,,,,
1,I did already  haha,,,,,,,,,,,,,,,
1,Reading my 8 Days.. ,,,,,,,,,,,,,,,
1,@jackyan Sounds a good solutions heh! ,,,,,,,,,,,,,,,
1,Hey Fam!! ,,,,,,,,,,,,,,,
1,"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)",,,,,,,,,,,,,,,
1,Meet my new best friend  http://twitpic.com/67tsv,,,,,,,,,,,,,,,
1,"@HotJane yeah, um Jane, the only un-boring eye candy around there I'm sure is you, hon'! ",,,,,,,,,,,,,,,
1,just got back from Canberra... now watching So You Think You Can Dance ,,,,,,,,,,,,,,,
1,@bngr Chesterfield ave. is the main road all the way through. From Heuston (Main gates) to the left isn't being used ,,,,,,,,,,,,,,,
1,@ericakelly01 LOL I was. ,,,,,,,,,,,,,,,
1,goodnight!  that dodger game really burned my wallet and me :/,,,,,,,,,,,,,,,
1,"@howie_d you're gonna take good care of that little baby and he's gonna be a strong boy, that's for sure ",,,,,,,,,,,,,,,
1,"attempting to sleep.  Hopefully, a good day tomorrow. ",,,,,,,,,,,,,,,
1,"@RenBlink182 ok i'll come on msn in a bit , im off to the chippy in a mo to get my dinner lol, speak to u laters ",,,,,,,,,,,,,,,
1,@mishmash878 well have a good week and hope the hand feels better ,,,,,,,,,,,,,,,
1,"so excited !! starting tomorrow, yal need to call me SOPHOMRE ! haha, peace  saw kim sang bum ! on tv.haha",,,,,,,,,,,,,,,
1,@DavidArchie: I went to watch your concert with David Cook.. both of you are good singers.. ,,,,,,,,,,,,,,,
1,Physics is actually really awesome  Just sayin'!,,,,,,,,,,,,,,,
1,@tonyprice hey good job again 2nyt. My friends luvd u! Im ur pimp now.. LOL ,,,,,,,,,,,,,,,
1,"@DTPHULP  lol, me too....    You do know that the sound of your voice is great ?  We only need to do some euh fine-tuning... ",,,,,,,,,,,,,,,
1,@OMJitsSarax3 I can make things better ,,,,,,,,,,,,,,,
1,"Hmm, So 2 more weeks until the answer of who made the FSDT is annouced ",,,,,,,,,,,,,,,
1,HAHA just when i was about to talk shit about college life it made me laugh  good save mtv,,,,,,,,,,,,,,,
1,@friendley im new at this too. lol im just trying to get as many people to follow me check out this site though acemansworld.com its cool ,,,,,,,,,,,,,,,
1,"@Jonas_Dreamgirl Getting ready for tonight (Y) Waiting for my nail polish to dry, then gotta do my hair&amp;&amp; makeup  xoxo",,,,,,,,,,,,,,,
1,@mmmicaela ha i know ,,,,,,,,,,,,,,,
1,"Thank god Nyai's operation was successful  here I am, lying on my bed, still sleepy cant sleep. -_-. datarock ,rock on!",,,,,,,,,,,,,,,
1,@Renato71 good morning! ,,,,,,,,,,,,,,,
1,@tim339  i suppose haha,,,,,,,,,,,,,,,
1,watching an interview with my one true icon... Karl Lagerfeld. He amazes me. I love him &amp; all his work ,,,,,,,,,,,,,,,
1,"Hoping the old voice pulls through with trumps tonight, not feeling tip top. CAPESIDE will have fun tonight ",,,,,,,,,,,,,,,
1,@ciaobella6 YAY!! its about time ,,,,,,,,,,,,,,,
1,Loving the hot chicken wings at KFC.  It's finger lickin good ,,,,,,,,,,,,,,,
1,It's after midnight and it has been a loooooong day. Did I mention my kid's out of school now?  Whew-Why can't I have that kind of energy?,,,,,,,,,,,,,,,
1,"@Kathryn17 I don't know you that well (yet), or do I? ",,,,,,,,,,,,,,,
1,@justbreathex lian ,,,,,,,,,,,,,,,
1,@RobMader Do you ever sleep??  ,,,,,,,,,,,,,,,
1,i'm at the office trying to finish up so i can get out of here and head out to bahama breeze ,,,,,,,,,,,,,,,
1, now I found the final &amp; right song  http://bit.ly/urtkr,,,,,,,,,,,,,,,
1,Just found 'You'll be in my heart' by Phil Collins on my ipod  tarzan soundtrack rules xD wondering if anybody actually reads all this xD,,,,,,,,,,,,,,,
1,Just reading about opportunities to walk with a llama - and feel calmer  http://www.getactivewithanimals.com/walkwithllamas.html,,,,,,,,,,,,,,,
1,@vallovetwilight Kudos too you doll! LOL! ,,,,,,,,,,,,,,,
1,Just made some new friends in Miami at laughing buddah... Now hanging out with them n topher  http://twitpic.com/6v7qc,,,,,,,,,,,,,,,
1,"@ThingsMomsLike o wow, huge prize! congrats to her ",,,,,,,,,,,,,,,
1,@sputuk Surely that's the Audi TeeHee then  #failedcarmodels (via @Chapla1n) - or the Yugo Angiggle?,,,,,,,,,,,,,,,
1,@backstreetboys Brian you'are so adorable and funny   (groundctrl live &gt; http://ustre.am/X1C),,,,,,,,,,,,,,,
1,@jessako i can't wait to see the finished product ,,,,,,,,,,,,,,,
1,@ddlovato http://demilovatosource.net/ YOUR #1 UK/LONDON FANSITE  I KNW UR GNA LOVE IT!... ill shw u when u get here  &lt;3,,,,,,,,,,,,,,,
1,Is up for getting ready for work excited  to start the day ,,,,,,,,,,,,,,,
1,Looking forward to getting flat keys today ,,,,,,,,,,,,,,,
1,"Hair, meet your soulmate- Vidal Sassoon.  - http://tweet.sg",,,,,,,,,,,,,,,
1,@lisjustice  #davethinkslisgaynohomo #rotflmao,,,,,,,,,,,,,,,
1,Still a lot of life into these old bones  http://bit.ly/gNsSa,,,,,,,,,,,,,,,
1,@AndySalmon Don't forget you CAN have coffee if you are gonna get a workout in...BST day! ,,,,,,,,,,,,,,,
1,"Whenever possible, watch ADHD people clean. It's fun! ",,,,,,,,,,,,,,,
1,"@FizzyDuck hi ! I would suggest music of my electro project *** http://bit.ly/12KoF0 *** fresh, kickin', different! free dl &amp; have fun ",,,,,,,,,,,,,,,
1,Something's going down tonight ,,,,,,,,,,,,,,,
1,at temporary spaces with the love of my life. ,,,,,,,,,,,,,,,
1,"@ebassman I'll be there in a hot minute, yo! I know u miss me... Lol!  See ya soon!!",,,,,,,,,,,,,,,
1,having an apple ,,,,,,,,,,,,,,,
1,@BobbiBillard A large number 14 to go please. ,,,,,,,,,,,,,,,
1,@aneshaisaplus This is my creative time. That is y I'm up.  Wut r uuuuuu doing up miss thang?,,,,,,,,,,,,,,,
1,"@techcommdood Er, just you? ",,,,,,,,,,,,,,,
1,nothing better than a good cup of coffee ,,,,,,,,,,,,,,,
1,chillin with amanda...cool beans lol ,,,,,,,,,,,,,,,
1,@CacheShantel night ,,,,,,,,,,,,,,,
1,"surprisingly, i cant wait for @ashleytisdale s new album. i listened to the preview and it sounds great. ",,,,,,,,,,,,,,,
1,"right now i am texting and on facebook. and being super bored. if you got my number, call me or text me! ",,,,,,,,,,,,,,,
1,@MissKellyO I have sore eyes from cooking onions and have a chest infection - great huh? Hope you are well ,,,,,,,,,,,,,,,
1,"Kuja: Calling Zidane a womanizing idiot who doesn't know how to run  Life is fun, is it not?",,,,,,,,,,,,,,,
1,This is a status update to twitter from ICE  Timestamp: Mon Jun 15 13:46:40 CEST 2009,,,,,,,,,,,,,,,
1,There goes the bump  #NASCAR #truckseries,,,,,,,,,,,,,,,
1,@gabflat It was Hot n Cold by Katy Perry. I know I'm supposed to ~*hate*~ her and such...but that song just works for right now ,,,,,,,,,,,,,,,
1,@TheChelseaStaub haha i do that sometimes too...lol we all have moments ,,,,,,,,,,,,,,,
1,is bored ! can't wait till tomorrow ! ,,,,,,,,,,,,,,,
1,Hi everyone!! gonna work all day long.... yeah it's ashamed! Of course there will be tweets!! ,,,,,,,,,,,,,,,
1,going to Oakland tonight...yay! can't wait to see my oaktown girls ,,,,,,,,,,,,,,,
1,@SelenaJoey u r soo cute joey plezzzzzzzzzz follow me!! ,,,,,,,,,,,,,,,
1,Back in beautiful Nashvegas! Good to be home. ,,,,,,,,,,,,,,,
1,@JetBlue Munchies Mix! Had it on my last JetBlue flight ,,,,,,,,,,,,,,,
1,"@shalabhchaudhri  Btw ,socializing is work itself. It is not an easy achievement to master it. But you know that already ",,,,,,,,,,,,,,,
1,@tradeshowdispla Form Fifty Five is back! Yay! ,,,,,,,,,,,,,,,
1,@julieallinson hb! ,,,,,,,,,,,,,,,
1,I love it when you wake up to a good news ! don't you ?  http://annecresci.blogspot.com/,,,,,,,,,,,,,,,
1,Is at Old Chicago having some Woodchucks with Steph ,,,,,,,,,,,,,,,
1,"@simondsaid my brother and i both have it, he more than i ",,,,,,,,,,,,,,,
1,"@gapinvoid hey hugh, fixed the facebook-app, somewhat  http://apps.facebook.com/gapingvoid",,,,,,,,,,,,,,,
1,@xCemeteryDrivex http://twitpic.com/6fmyh - Frank looks damns sexy. SO Does Mikey &amp;&amp; Gerard. ,,,,,,,,,,,,,,,
1,@BatJosh awww haha if you say soooooo ,,,,,,,,,,,,,,,
1,Happy Mothers Day to all your moms! ,,,,,,,,,,,,,,,
1,I broke a 1000 posts and didn't notice! Congrats me and my verbal diarrhea ,,,,,,,,,,,,,,,
1,makin food before i leave..  yum! next time i tweet will prolly be from arizona so idk when it will be.. =/,,,,,,,,,,,,,,,
1,"@praveenjoshi dude, you are in public domain! ",,,,,,,,,,,,,,,
1,"probably going to see them again in Austin tomorrow night, thanks to Ed. ",,,,,,,,,,,,,,,
1,HUGE Thunderstorm!!!! w00p w00p!!! ,,,,,,,,,,,,,,,
1,@brandiei thanks! Finally something that I can smile about ,,,,,,,,,,,,,,,
1,@mitchelmusso think you can do a cd signing on the east coast? AHA. ,,,,,,,,,,,,,,,
1,@brother_rat Hi..Yes you would have FTP access.  This isnt a twitterhawk reply ,,,,,,,,,,,,,,,
1,@gapscott OMG how did you guess?? Me and Tinkerbell are eating some nachos ,,,,,,,,,,,,,,,
1,eating at coldstone ,,,,,,,,,,,,,,,
1,@isabellaxxcsi &quot;franzne&quot; still my old account (on tg).  hmm. i think nothing's new with me. haha! still a jobros fan. ) how about youu?,,,,,,,,,,,,,,,
1,"@therealsavannah sweetie i just saw your cover of Battlefield,its amazing.like always  your such a great singer! Xoxo-NGA",,,,,,,,,,,,,,,
1,@xo_mcflyandjb haha thats awesome!! loved it  NOW I WANT HINTS ,,,,,,,,,,,,,,,
1,@chubbystewart  Congrats Tony!!!  One million in the pocket!  And you looked great doing it.  ,,,,,,,,,,,,,,,
1,"@ModelMandyLynn My current favourites are Life, House and formerly Boston Legal. I guess I enjoy sarcasm ",,,,,,,,,,,,,,,
1,"ok list of browsers to download today, Safari, Chrome &amp; Firefox. ",,,,,,,,,,,,,,,
1,Ikea with Bradley looking at baby things ,,,,,,,,,,,,,,,
1,"@trataka Hi James, @Banksyart is now at @Banksyart2 - he's been posting there since having probs with his @Banksyart account. ",,,,,,,,,,,,,,,
1,&quot;a friend is someone who walks in when the whole world walks out&quot; - cute. ,,,,,,,,,,,,,,,
1,@OffRoad_Dude only wishes he was as good as me! ,,,,,,,,,,,,,,,
1,bottega louie with moms and broke the bank at the bakery...i tried all those damn macarons! @madmojo alliteration is fun ,,,,,,,,,,,,,,,
1,Finally leaving. Then might go to the mall. After that I have to fiind something to do for a few hours AND THEN movies ,,,,,,,,,,,,,,,
1,"@pottymouthmama eBay  had to drive an hour to get it, but worth the cheapness.",,,,,,,,,,,,,,,
1,waiting for my trampolin ,,,,,,,,,,,,,,,
1,"@ChadTheElder UR welcome! I miss ya! but, I understand family first  hope you do a state fair show. I might just be persuaded to come out.",,,,,,,,,,,,,,,
1,Aww! My daddy called me! ,,,,,,,,,,,,,,,
1,Love me some Gotti's Way ...I see yU Deb ,,,,,,,,,,,,,,,
1,@emokidsloveme LOL - righto! I'm with you on that one ,,,,,,,,,,,,,,,
1,So who ended up number #1 for West Covina Lanes Showtime bowling league?  That's right...Team #4...that's us!  That was a long 30 weeks ,,,,,,,,,,,,,,,
1,@DianaWyatt  There are a couple of Gordon Lightfoot songs that they haven't got on Blip.I might sue them lol ,,,,,,,,,,,,,,,
1,its sunnnnnnnnnnnnnnny! definately a day for a BBQ  (via @Kaaayleigh),,,,,,,,,,,,,,,
1,@goldstatus south america or europe? both have their share of attractive singles ,,,,,,,,,,,,,,,
1,Punching bags are my new best friend ,,,,,,,,,,,,,,,
1,"@phatelara nice?? so if I do celebrate my bday there, you must come!!  ",,,,,,,,,,,,,,,
1,away to schoooooool. BLAH too early ,,,,,,,,,,,,,,,
1,@TareshMonchel thanks! I'll try my best.... Same 2 u ,,,,,,,,,,,,,,,
1,My friend michelle from work. Very fun! ,,,,,,,,,,,,,,,
1,"CONANNN O'BRIENNNN!!!  ...I've missed you, old friend!  lol",,,,,,,,,,,,,,,
1,new @mashable iphone app in the appstore now... big fan  http://tinyurl.com/dyr6dh,,,,,,,,,,,,,,,
1,"aveda, all day, then hopefully some pool time ",,,,,,,,,,,,,,,
1,Who'S mitchell? Mustard donuts?   ?ellohveeE!,,,,,,,,,,,,,,,
1,"@whiteywitters I reallly want to go, but I dunno who I'd go with! Sounds amazing though  xxxxxxxxx",,,,,,,,,,,,,,,
1,@xxkassyxx oh my hoppus! yes!!!! i'll bring the gummie bears ,,,,,,,,,,,,,,,
1,"Good night tweeps ! If I can't sleep, I'll twolla back ",,,,,,,,,,,,,,,
1,"2.5hrs and first nightshift is over!!!  then 4 more to go... Trying to keep busy, but running out of things to do.",,,,,,,,,,,,,,,
1,"first sunday off in AGES. family channel &amp; breakfast in bed, you are mine ",,,,,,,,,,,,,,,
1,Met ling naar Hotel New York 4 lunch! ,,,,,,,,,,,,,,,
1,"#followfriday @neiltring, @Whatever_Ista, @missdmaree, @cleverrtia, @jareed007, @thisisScoman, @suzysmiles all have great tweets! ",,,,,,,,,,,,,,,
1,"@nettabrielle and when you find that bf I hope he has a brother,cousin or friend just as dope  for me of course lol",,,,,,,,,,,,,,,
1,@yam9972 woooo i will do ,,,,,,,,,,,,,,,
1,@bfox11b do your worst ,,,,,,,,,,,,,,,
1,@MandyyJirouxx YAYYAYYAYYAYYAYAYAYAYAAYYYYY!  hey beautiful.,,,,,,,,,,,,,,,
1,"Loving these hoes. I'm swag, I'm surfin.. Kim is NOT clean like my detergent.  Rotflmfao @kyoungblood6971",,,,,,,,,,,,,,,
1,@AlexLuker PS: I miss chatting to your sexy manly self. ,,,,,,,,,,,,,,,
1,is soooooooooooooo excited to be a god aunt!!! ,,,,,,,,,,,,,,,
1,listening to the rain while grilling out tonight - and it's smelling good ,,,,,,,,,,,,,,,
1,At the mall with mumsie  - http://tweet.sg,,,,,,,,,,,,,,,
1,@Fightycat Haven't seen it. I think there's a body shop in a mall near me.  Will check it out next tim!,,,,,,,,,,,,,,,
1,"@sunkistcami sorry to eavesdrop, but we have tons of cool stuff for engineers (aerospace included!)  http://giftsforengineers.com",,,,,,,,,,,,,,,
1,@tia_luvsday26 omg yu def shulda done it fool ahaha. next time yo ,,,,,,,,,,,,,,,
1,Oh! The vocabulary word for today is obedient: A Sensual Service Submissive should always strive to be obedient.  Right Master? ,,,,,,,,,,,,,,,
1,@trevorbboy  dude I was being weird and im sry idk why but u make me stutter and feel good inside,,,,,,,,,,,,,,,
1,@itsjay_yadigg chillllinnn lookin for somethign 2 dooo ,,,,,,,,,,,,,,,
1,@TheEllenShow just remember all the scary movies  w/garbage disposal's before retrieving the spoon ,,,,,,,,,,,,,,,
1,@H_I_M sure thing- working on it with the rework of the website ,,,,,,,,,,,,,,,
1,"@MajorDodson This is wide open, but beautiful nonetheless, even tho I didn't understand a lot of it LOL.. I will reread with a fresh head ",,,,,,,,,,,,,,,
1,"At work, and loving it! Today is going to be awesome, I can tell. ",,,,,,,,,,,,,,,
1,@chicchick1862 good call  mmmmss,,,,,,,,,,,,,,,
1,"@Tunnelman well, good morning then ",,,,,,,,,,,,,,,
1,"@joltonline  Thanks , will report anything I find from this fine day of gaming ",,,,,,,,,,,,,,,
1,I'm on my way home. What do u know about Sat OT? ,,,,,,,,,,,,,,,
1,@carol_carter1 @BriansSexMonkey awww thanks I feel so special *blushes* KTBSPA  #BSB,,,,,,,,,,,,,,,
1,@Moobert04 Hahaha.....make a WS mix! ,,,,,,,,,,,,,,,
1,Studing 4 finals  Wish me luck See you then!!! ,,,,,,,,,,,,,,,
1,I'm just about to set off for York ,,,,,,,,,,,,,,,
1,Good Day! GoodDAY! GOODDAY2U TODAY!!! It's A NEW Day!The Lord IS My Shepherd~I SHALL NOT LACK!! Is this 4 U2??!!  YES! JustAgree!Matt18:19,,,,,,,,,,,,,,,
1,Sitting with friends in an Italian restaurant. Love it   http://bit.ly/fDlkZ  http://twitpic.com/6u8zv,,,,,,,,,,,,,,,
1,"@tommcfly tom not worry about chile concert, fans were more than happy anyway, i0m from chile ",,,,,,,,,,,,,,,
1,This is a status update to twitter from ICE  Timestamp: Mon Jun 15 10:46:51 CEST 2009,,,,,,,,,,,,,,,
1,so excited for the new JB album ,,,,,,,,,,,,,,,
1,@tweetygurl75 The Twilight books are amazing  Are you enjoying so far? Hope so xx,,,,,,,,,,,,,,,
1,"Bought ANOTHER bloody Rover, must be mad!  - http://mobypicture.com/?ucbqp4",,,,,,,,,,,,,,,
1,Headed to DC for the weekend and then off to NYC!!!! Can't wait to see my bff!!!!  ,,,,,,,,,,,,,,,
1,@juicyjade you know you love it! ,,,,,,,,,,,,,,,
1,@Bellarrr http://twitpic.com/3pfsn - AWWWWH  /steals,,,,,,,,,,,,,,,
1,Are you on myspace? Add me: http://www.myspace.com/crochetinghands I love new friendships. ,,,,,,,,,,,,,,,
1,@pinchejuan1 I'll accept you ,,,,,,,,,,,,,,,
1,@TheRell sorry late tweet =/ my phones been messing up...good day to you too love ,,,,,,,,,,,,,,,
1,@johnnnaa yeah. real soon! ,,,,,,,,,,,,,,,
1,Paying bills and doing housework.....and eating cake ,,,,,,,,,,,,,,,
1,@lisuhh hoee! follllow me  ive only got 2 folllowers and thats quit embarasssing,,,,,,,,,,,,,,,
1,"Goodnight World, Get Ready to &quot;Get It Done Today!&quot;....soon  Can't wait to share this with you!",,,,,,,,,,,,,,,
1,Off to get some lunch ,,,,,,,,,,,,,,,
1,Tonight it's Arj Barker. I'm getting used to going out every other night. What will I do when #MICF ends...? Jazz Festival! ,,,,,,,,,,,,,,,
1,@martinfaux He certainly gives good interview ,,,,,,,,,,,,,,,
1,nobody ever replys to my tweets. lmaoo; i guess i must be borinng ,,,,,,,,,,,,,,,
1,23 Days Til My Hols!!  Cant wait ,,,,,,,,,,,,,,,
1,simera to apogevmataki FREE HUGS..ermou k 8isio.. ,,,,,,,,,,,,,,,
1,@SisterDiane What a fantastic weekend. Thanks for taking time to hang and chat with me!!!! Stay gold ,,,,,,,,,,,,,,,
1,@ginology awwwwwwwwwww you don't have to do that! That is so sweet! Not sure how i would autograph it  You could send it to me...,,,,,,,,,,,,,,,
1,@rustyrockets et's genitals are in his magic glowing finger ,,,,,,,,,,,,,,,
1,@NadavS Cant wait to do some of those things ,,,,,,,,,,,,,,,
1,@rdroyce Praise God for good teaching; praying for protection/health in heat/dust --helps to use a cloth over mouth/face on the bikes  gbu,,,,,,,,,,,,,,,
1,relaxing today. out with rachel later ,,,,,,,,,,,,,,,
1,@Durf lolol... sad but true. Not really my style though  I'll just grumble about it or use Outlook under Fusion.,,,,,,,,,,,,,,,
1,EVERYONE WHO HELPED ME OUT WIT THE CONTEST LAST WEKK RETWEET THAT ISH ,,,,,,,,,,,,,,,
1,@sassyminidolls Thank you.  We do love our critters eh?  . . . and here I was prepared for the worst. I shipped you package yesterday. ,,,,,,,,,,,,,,,
1,I'm the only one wearing pants today! ,,,,,,,,,,,,,,,
1,with my bff. ,,,,,,,,,,,,,,,
1,@rebeccashearing You are welcome my dear ! ,,,,,,,,,,,,,,,
1,Am I following real Leona Lewis... check it out 4 me ,,,,,,,,,,,,,,,
1,@knitpurlgurl Would you be shocked to learn that isnt true  #oscarmayer #bluebox,,,,,,,,,,,,,,,
1,@DNiCESEOUL lOl cause i know you bestfriend. i KNOW you. ,,,,,,,,,,,,,,,
1,@piping_hot What is it with dentist/orthodontists and teeth this week?  ,,,,,,,,,,,,,,,
1,Christ alone can bring lasting peace - peace with God - peace among men and nations - and peace within our hearts. Billy Graham ,,,,,,,,,,,,,,,
1,@danluvisiart Whoa that's alot considering that you always detail your work like there is no tomorrow! ,,,,,,,,,,,,,,,
1,"@dalerankine well, so I can take a vacation !!! ",,,,,,,,,,,,,,,
1,@Jojo_feat awwwww the video ,,,,,,,,,,,,,,,
1,@joeymcintyre SEXY pic!  keep em coming!! ,,,,,,,,,,,,,,,
1,@ScotRadcliffe Will do ,,,,,,,,,,,,,,,
1,@athugspassion Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,,,,,,,,,,,,,,,
1,Got my MacBook back! ,,,,,,,,,,,,,,,
1,@dannywood I thimk you were working on those muscles we love so much. ,,,,,,,,,,,,,,,
1,"@lindarr Definitely take some time to pray. For some reason, it always works! ",,,,,,,,,,,,,,,
1,Who wants to talk platform? I'll be on here from 11 - 12 a.m. today if anyone wants to shoot the platform breeze. ,,,,,,,,,,,,,,,
1,I'm home!!!!! Gonna take a much needed shower. Chat with you in a bit ,,,,,,,,,,,,,,,
1,"@Partly_Cloudi oh darn, too late. Your man was on all in a white suit looking good ",,,,,,,,,,,,,,,
1,@wikipeteia i enjoy twirly bits.    email me details and I can maybe do something up.  sarahnoid at gmail,,,,,,,,,,,,,,,
1,Shout out to everyone who showed love like y'all sure know how to make a girl feel loved ,,,,,,,,,,,,,,,
1,watching mean girls and eating candy ,,,,,,,,,,,,,,,
1,@katevandervoort Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,,,,,,,,,,,,,,,
1,@Mariahfan4eva yeaahh  !! oh lamb... IÂ´m so excited for today... canÂ´t WAIT!!!,,,,,,,,,,,,,,,
1,@Bonedwarf just sort by file type and select the block you want ..... tis easy ,,,,,,,,,,,,,,,
1,"hi everyone! good morning  drinking my redbull, preparing to blog",,,,,,,,,,,,,,,
1,@KennyEliasson Oh rly!? That sux! Switch to Thunderbird/IMAP and everything works like a charm ,,,,,,,,,,,,,,,
1,Awww Hey Shooter tyvvvm . Thats my only rose that bloomed so far this year  Not to Worry I will bring the Kitties back soon Enough . Hugs,,,,,,,,,,,,,,,
1,"@frodjo no it's boa tarde, as i get bck from work now=D  i'm in the middle of my day  well bom dia to you though",,,,,,,,,,,,,,,
1,@EuropeanBandit let ur friend that's moving to LDN to follow us to get most out of netwrking among LDN expats! we'r here to help! cheers! ,,,,,,,,,,,,,,,
1,@lu_lu ZOMG is @RichardGiles on something? ,,,,,,,,,,,,,,,
1,"@CHRISDJMOYLES morning Chris, have alook at this  -  http://tinyurl.com/lsrh3k - u will love it!",,,,,,,,,,,,,,,
1,Just finished some exercise now I CAN lie out  I love not being in tech,,,,,,,,,,,,,,,
1,i really want to go to the zoo today... ,,,,,,,,,,,,,,,
1,"kicking back with the fire going, watching Labyrinth... oh yeah ",,,,,,,,,,,,,,,
1,won a bunch of tickets at boomers   LA-LA-LA-LAVA LAMP!!!!,,,,,,,,,,,,,,,
1,"@deeped I like &quot;twitteratia&quot;  Agree, logging off again after a quick mobile twitter visit.",,,,,,,,,,,,,,,
1,@Ceedee LOL Chris!!  Tell them that's the new policy.  Maybe they'll abide by it. ,,,,,,,,,,,,,,,
1,&quot;Hey biggie. biggie!&quot; lol. I had a sudden urge to be in the mustang. ,,,,,,,,,,,,,,,
1,"started to congratulate all my relative-moms, only to find out that mother's day is actually next sunday ",,,,,,,,,,,,,,,
1,Listening to Mitchel Musso and making a B-Day Present ,,,,,,,,,,,,,,,
1,@BBWPornAwards Thank you so much! ,,,,,,,,,,,,,,,
1,I'm back (on Twitter)!  Just had an amazing week on the Andaman Islands ,,,,,,,,,,,,,,,
1,"why are these homework so hard? but have to do it so that I can read Breaking Dawn, ",,,,,,,,,,,,,,,
1,@inaheart BPD awareness month....HMMM.  ,,,,,,,,,,,,,,,
1,"@lionessblack Yogurt's one of those things that keeps.  As long as the foil top isn't distended, you can still eat it w/o fear of death ",,,,,,,,,,,,,,,
1,"@indieicing we design with squarespace alot and I also use it for my personal blog, awesome platform, get your free trial and play... ",,,,,,,,,,,,,,,
1,@tweetie i'll buy tweetie for mac as soon as you give me the option to not show the dock icon ,,,,,,,,,,,,,,,
1,has new music in her mailbox as a thank you to yesterday's gooey chocolate cake  ,,,,,,,,,,,,,,,
1,@anniecoupland you're just such an easy target ,,,,,,,,,,,,,,,
1,@cohen_sydney is he on twitter?  I know @problogger he is into photography. Runs also popular photography blog too.,,,,,,,,,,,,,,,
1,"Off to lunch, outdoors ",,,,,,,,,,,,,,,
1,"@dizzygurl I'm going back to Saga, Hanna.  So much to tell. Let's talk soon.",,,,,,,,,,,,,,,
1,@Alomax drive safe sounds like you had a great time! ,,,,,,,,,,,,,,,
1,"@30STM_Denalie I'm great, luckily today is holiday  how about you? #echelonday #echelonday #echelonday #echelonday #echelonday",,,,,,,,,,,,,,,
1,http://twitpic.com/6giwh - Me and Karen bringing a bit of Summer to the Office ,,,,,,,,,,,,,,,
1,"@susanffvk Well, I'm sure that will be just fine   I'm thinking I need to go shopping for some new, cute aprons!",,,,,,,,,,,,,,,
1,@librantyger  hugs appreciated ,,,,,,,,,,,,,,,
1,Apparently in the 32nd century people will be saying &quot;Hang in There Brother &quot;. ,,,,,,,,,,,,,,,
1,@ok2baprincess hehe... I feel I'm fading like a flower ,,,,,,,,,,,,,,,
